Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,Major Group,Minor Group,Broad Group,Detailed Occupation,Occupation Name,Standardized_Occupation_Name,Combined Group,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title
Optometrists,31705,2960,18464,2200,13241,1761,41.8,4.1,129937,3430,140450,10479,123300,5158,87.8,8.1,2022,0.026723405,optometrists,,,29-1040,,Optometrists,optometrists,29-1040,,,,
Optometrists,31705,2960,18464,2200,13241,1761,41.8,4.1,129937,3430,140450,10479,123300,5158,87.8,8.1,2022,0.026723405,optometrists,,,,29-1041,Optometrists,optometrists,29-1041,29-1041.00,Optometrists,29-1041,Optometrists
Pharmacists,270137,9815,116667,5979,153470,6961,56.8,1.5,130580,1238,136253,2235,128132,1146,94,1.8,2022,0.3097380121378874,pharmacists,,,29-1050,,Pharmacists,pharmacists,29-1050,,,,
Pharmacists,270137,9815,116667,5979,153470,6961,56.8,1.5,130580,1238,136253,2235,128132,1146,94,1.8,2022,0.3097380121378874,pharmacists,,,,29-1051,Pharmacists,pharmacists,29-1051,29-1051.00,Pharmacists,29-1051,Pharmacists
Emergency medicine physicians,13170,2196,9687,1884,3483,886,26.4,5.8,"250,000+",***,"250,000+",***,"250,000+",***,(X),(X),2022,0.007029501,emergency medicine physicians,,,,29-1214,Emergency Medicine Physicians,emergency medicine physicians,29-1214,29-1214.00,Emergency Medicine Physicians,29-1214,Emergency Medicine Physicians
Radiologists,18299,2252,14413,2054,3886,1224,21.2,6.1,"250,000+",***,"250,000+",***,"250,000+",***,(X),(X),2022,0.007842848,radiologists,,,,29-1224,Radiologists,radiologists,29-1224,29-1224.00,Radiologists,29-1224,Radiologists
Other physicians,733169,16095,441514,12720,291655,10116,39.8,1.1,234274,4333,"250,000+",***,206401,4215,(X),(X),2022,0.5886273534246143,other physicians,,,,29-1229,"Physicians, All Other",other physicians,29-1229,29-1229.00,"Physicians, All Other",29-1229,"Physicians, All Other"
Other physicians,733169,16095,441514,12720,291655,10116,39.8,1.1,234274,4333,"250,000+",***,206401,4215,(X),(X),2022,0.5886273534246143,other physicians,,,,29-1229,"Physicians, All Other",other physicians,29-1229,29-1229.01,Allergists and Immunologists,29-1229,"Physicians, All Other"
Other physicians,733169,16095,441514,12720,291655,10116,39.8,1.1,234274,4333,"250,000+",***,206401,4215,(X),(X),2022,0.5886273534246143,other physicians,,,,29-1229,"Physicians, All Other",other physicians,29-1229,29-1229.02,Hospitalists,29-1229,"Physicians, All Other"
Other physicians,733169,16095,441514,12720,291655,10116,39.8,1.1,234274,4333,"250,000+",***,206401,4215,(X),(X),2022,0.5886273534246143,other physicians,,,,29-1229,"Physicians, All Other",other physicians,29-1229,29-1229.03,Urologists,29-1229,"Physicians, All Other"
Other physicians,733169,16095,441514,12720,291655,10116,39.8,1.1,234274,4333,"250,000+",***,206401,4215,(X),(X),2022,0.5886273534246143,other physicians,,,,29-1229,"Physicians, All Other",other physicians,29-1229,29-1229.04,Physical Medicine and Rehabilitation Physicians,29-1229,"Physicians, All Other"
Other physicians,733169,16095,441514,12720,291655,10116,39.8,1.1,234274,4333,"250,000+",***,206401,4215,(X),(X),2022,0.5886273534246143,other physicians,,,,29-1229,"Physicians, All Other",other physicians,29-1229,29-1229.05,Preventive Medicine Physicians,29-1229,"Physicians, All Other"
Other physicians,733169,16095,441514,12720,291655,10116,39.8,1.1,234274,4333,"250,000+",***,206401,4215,(X),(X),2022,0.5886273534246143,other physicians,,,,29-1229,"Physicians, All Other",other physicians,29-1229,29-1229.06,Sports Medicine Physicians,29-1229,"Physicians, All Other"
Surgeons,51238,3230,40456,3113,10782,1766,21,3.2,"250,000+",***,"250,000+",***,"250,000+",***,-,***,2022,0.021760574,surgeons,,,29-1240,,Surgeons,surgeons,29-1240,,,,
Physician assistants,128908,6267,46373,3337,82535,5443,64,2.3,121105,2835,135113,4293,115573,2046,85.5,2.8,2022,0.16657474966964575,physician assistants,,,29-1070,,Physician Assistants,physician assistants,29-1070,,,,
Physician assistants,128908,6267,46373,3337,82535,5443,64,2.3,121105,2835,135113,4293,115573,2046,85.5,2.8,2022,0.16657474966964575,physician assistants,,,,29-1071,Physician Assistants,physician assistants,29-1071,29-1071.00,Physician Assistants,29-1071,Physician Assistants
Physician assistants,128908,6267,46373,3337,82535,5443,64,2.3,121105,2835,135113,4293,115573,2046,85.5,2.8,2022,0.16657474966964575,physician assistants,,,,29-1071,Physician Assistants,physician assistants,29-1071,29-1071.01,Anesthesiologist Assistants,29-1071,Physician Assistants
Podiatrists,11024,1996,8400,1435,2624,1009,23.8,6.6,158263,18829,157855,27462,161157,31402,(X),(X),2022,0.00529584,podiatrists,,,29-1080,,Podiatrists,podiatrists,29-1080,,,,
Podiatrists,11024,1996,8400,1435,2624,1009,23.8,6.6,158263,18829,157855,27462,161157,31402,(X),(X),2022,0.00529584,podiatrists,,,,29-1081,Podiatrists,podiatrists,29-1081,29-1081.00,Podiatrists,29-1081,Podiatrists
Audiologists,16664,2011,2473,821,14191,1881,85.2,4.6,87161,3804,102026,18288,86087,4098,(X),(X),2022,0.028640725420269495,audiologists,,,29-1180,,Audiologists,audiologists,29-1180,,,,
Audiologists,16664,2011,2473,821,14191,1881,85.2,4.6,87161,3804,102026,18288,86087,4098,(X),(X),2022,0.028640725420269495,audiologists,,,,29-1181,Audiologists,audiologists,29-1181,29-1181.00,Audiologists,29-1181,Audiologists
Occupational therapists,104462,6864,14335,2364,90127,6215,86.3,2,77984,2092,93640,6848,76619,1066,81.8,6.1,2022,0.1818971643966337,occupational therapists,,,,29-1122,Occupational Therapists,occupational therapists,29-1122,29-1122.00,Occupational Therapists,29-1122,Occupational Therapists
Occupational therapists,104462,6864,14335,2364,90127,6215,86.3,2,77984,2092,93640,6848,76619,1066,81.8,6.1,2022,0.1818971643966337,occupational therapists,,,,29-1122,Occupational Therapists,occupational therapists,29-1122,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",29-1122,Occupational Therapists
Physical therapists,208175,8224,87749,5022,120426,5879,57.8,1.7,86325,885,93258,1522,82476,1148,88.4,2,2022,0.24304756532037025,physical therapists,,,,29-1123,Physical Therapists,physical therapists,29-1123,29-1123.00,Physical Therapists,29-1123,Physical Therapists
Radiation therapists,9758,1423,2711,700,7047,1352,72.2,6.9,88149,6819,96035,6730,81293,3461,(X),(X),2022,0.014222478474853015,radiation therapists,,,,29-1124,Radiation Therapists,radiation therapists,29-1124,29-1124.00,Radiation Therapists,29-1124,Radiation Therapists
Recreational therapists,8910,1641,1930,668,6980,1451,78.3,6.7,47108,5698,60696,2626,44525,6468,(X),(X),2022,0.014087256953948354,recreational therapists,,,,29-1125,Recreational Therapists,recreational therapists,29-1125,29-1125.00,Recreational Therapists,29-1125,Recreational Therapists
Respiratory therapists,96545,5275,36278,3628,60267,3603,62.4,2.7,73880,1422,81234,2617,71223,2006,87.7,3.7,2022,0.12163276716957098,respiratory therapists,,,,29-1126,Respiratory Therapists,respiratory therapists,29-1126,29-1126.00,Respiratory Therapists,29-1126,Respiratory Therapists
Speechlanguage pathologists,129314,6622,7358,1440,121956,6292,94.3,1.1,73224,1327,82439,13548,72470,1488,87.9,13.8,2022,0.24613545975296927,speechlanguage pathologists,,,,29-1127,Speech-Language Pathologists,speechlanguage pathologists,29-1127,29-1127.00,Speech-Language Pathologists,29-1127,Speech-Language Pathologists
Exercise physiologists,5742,1291,2673,891,3069,1032,53.4,12.4,50313,3341,52080,8395,46671,3986,(X),(X),2022,0.006193953,exercise physiologists,,,,29-1128,Exercise Physiologists,exercise physiologists,29-1128,29-1128.00,Exercise Physiologists,29-1128,Exercise Physiologists
Therapists all other,157845,8222,30299,3823,127546,7548,80.8,2.2,59513,1494,61237,1818,58782,1780,96,4.3,2022,0.2574173747060597,other therapists,,,,29-1129,"Therapists, All Other",other therapists,29-1129,29-1129.00,"Therapists, All Other",29-1129,"Therapists, All Other"
Therapists all other,157845,8222,30299,3823,127546,7548,80.8,2.2,59513,1494,61237,1818,58782,1780,96,4.3,2022,0.2574173747060597,other therapists,,,,29-1129,"Therapists, All Other",other therapists,29-1129,29-1129.01,Art Therapists,29-1129,"Therapists, All Other"
Therapists all other,157845,8222,30299,3823,127546,7548,80.8,2.2,59513,1494,61237,1818,58782,1780,96,4.3,2022,0.2574173747060597,other therapists,,,,29-1129,"Therapists, All Other",other therapists,29-1129,29-1129.02,Music Therapists,29-1129,"Therapists, All Other"
Veterinarians,78560,4934,28990,2812,49570,3876,63.1,2.8,121562,4946,134325,7502,115521,3885,86,5.3,2022,0.10004374315289682,veterinarians,,,29-1130,,Veterinarians,veterinarians,29-1130,,,,
