Occupation Name,Task Description,Importance,Verb-Noun Pairs
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors.
Related occupations",67,"[('show', 'evidence')]"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Enforce administration policies and rules governing students.
Related occupations",67,"[('govern', 'student')]"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Use computers, audio-visual aids, and other equipment and materials to supplement presentations.
Related occupations",66,"[('use', 'computer'), ('supplement', 'presentation')]"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools.
Related occupations",66,"[('prepare', 'objective'), ('follow', 'guideline')]"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Prepare reports on students and activities as required by administration.
Related occupations",65,"[('prepare', 'report')]"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Review instructional content, methods, and student evaluations to assess strengths and weaknesses, and to develop recommendations for course revision, development, or elimination.
Related occupations",64,"[('review', 'content'), ('assess', 'strength'), ('develop', 'recommendation')]"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Register, orient, and assess new students according to standards and procedures.
Related occupations",63,"[('assess', 'student')]"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Collaborate with other teachers and professionals in the development of instructional programs.
Related occupations",62,[]
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Attend staff meetings and serve on committees, as required.
Related occupations",61,"[('attend', 'meeting')]"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Meet with other professionals to discuss individual students' needs and progress.
Related occupations",59,"[('discuss', 'need')]"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Guide and counsel students with adjustment or academic problems or special academic interests.
Related occupations",58,[]
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Select, order, and issue books, materials, and supplies for courses or projects.
Related occupations",56,[]
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Attend professional meetings, conferences, and workshops to maintain and improve professional competence.
Related occupations",55,"[('attend', 'meeting'), ('improve', 'competence')]"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Confer with other staff members to plan and schedule lessons that promote learning, following approved curricula.
Related occupations",54,[]
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Plan and supervise class projects, field trips, visits by guest speakers, contests, or other experiential activities, and guide students in learning from those activities.
Related occupations",52,"[('supervise', 'project'), ('guide', 'student')]"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Provide students with disabilities with assistive devices, supportive technology, and assistance accessing facilities, such as restrooms.
Related occupations",73,"[('provide', 'student')]"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Provide information, guidance, and preparation for the General Equivalency Diploma (GED) examination.
Related occupations",68,"[('provide', 'information')]"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Select and schedule class times to ensure maximum attendance.
Related occupations",64,"[('ensure', 'attendance')]"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Train and assist tutors and community literacy volunteers.
Related occupations",62,"[('assist', 'tutor')]"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Observe and evaluate the performance of other instructors.
Related occupations",52,"[('evaluate', 'performance')]"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Confer with leaders of government and community groups to coordinate student training or to find opportunities for students to fulfill curriculum requirements.
Related occupations",52,"[('coordinate', 'training'), ('find', 'opportunity'), ('fulfill', 'requirement')]"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Participate in publicity planning, community awareness efforts, and student recruitment.
Related occupations",52,[]
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Advise students on internships, prospective employers, and job placement services.
Related occupations",51,[]
Advanced Practice Psychiatric Nurses,"Assess patients' mental and physical status, based on the presenting symptoms and complaints.
Related occupations",98,[]
Advanced Practice Psychiatric Nurses,"Diagnose psychiatric disorders and mental health conditions.
Related occupations",97,[]
Advanced Practice Psychiatric Nurses,"Document patients' medical and psychological histories, physical assessment results, diagnoses, treatment plans, prescriptions, or outcomes.
Related occupations",97,[]
Advanced Practice Psychiatric Nurses,"Educate patients and family members about mental health and medical conditions, preventive health measures, medications, or treatment plans.
Related occupations",97,[]
Advanced Practice Psychiatric Nurses,"Write prescriptions for psychotropic medications as allowed by state regulations and collaborative practice agreements.
Related occupations",97,"[('write', 'prescription')]"
